    PID    PPID %MEM CMD                         %CPU
   1207     785 17.3 /usr/bin/gnome-shell         5.7
    885     882  4.6 /usr/lib/xorg/Xorg vt2 -dis  2.3
   1478     785  3.7 /snap/snap-store/518/usr/bi  0.3
   2125     785  3.4 /usr/bin/nautilus --gapplic  0.3
   2539     785  3.0 /usr/bin/gedit --gapplicati  2.5
   1406    1193  2.9 /usr/libexec/evolution-data  0.0
   2560    2559  2.7 zenity --error --title Noti  0.6
   2373     785  2.4 /usr/libexec/gnome-terminal  0.1
   1026     785  1.7 /usr/libexec/goa-daemon      0.0
    620       1  1.5 /usr/sbin/libvirtd           0.0
   1237    1232  1.5 /usr/libexec/ibus-extension  0.1
   1348     785  1.5 /usr/libexec/gsd-media-keys  0.0
   1922    1193  1.5 update-notifier              0.0
   1382     785  1.4 /usr/libexec/gsd-xsettings   0.0
   1350     785  1.4 /usr/libexec/gsd-power       0.0
   1336     785  1.4 /usr/libexec/gsd-color       0.0
   1342     785  1.4 /usr/libexec/gsd-keyboard    0.0
   1279     785  1.3 /usr/libexec/evolution-cale  0.0
   1241     785  1.3 /usr/libexec/ibus-x11 --kil  0.0
   1295     785  1.3 /usr/libexec/evolution-addr  0.0
   1374     785  1.3 /usr/libexec/gsd-wacom       0.0
    560       1  1.3 /usr/lib/snapd/snapd         0.1
   1318     785  1.2 /usr/bin/gjs /usr/share/gno  0.0
   1269     785  1.1 /usr/libexec/evolution-sour  0.0
   1592       1  1.0 /usr/libexec/fwupd/fwupd     0.0
    851     785  1.0 /usr/libexec/tracker-miner-  0.0
    623       1  1.0 /usr/bin/python3 /usr/share  0.0
    535       1  0.9 /usr/sbin/NetworkManager --  0.1
    542       1  0.9 /usr/bin/python3 /usr/bin/n  0.0
   1263     785  0.9 /usr/libexec/gnome-shell-ca  0.0
    226       1  0.8 /lib/systemd/systemd-journa  0.0
    847     785  0.8 /usr/bin/pulseaudio --daemo  0.0
   1193     785  0.7 /usr/libexec/gnome-session-  0.0
   1443     785  0.7 /usr/libexec/gsd-printer     0.0
    707       1  0.7 /usr/bin/whoopsie -f         0.0
   1338     785  0.7 /usr/libexec/gsd-datetime    0.0
   1444       1  0.6 /usr/libexec/colord          0.0
   1071     882  0.6 /usr/libexec/gnome-session-  0.0
    490       1  0.6 /lib/systemd/systemd-resolv  0.0
    613       1  0.6 /usr/sbin/cups-browsed       0.0
    565       1  0.6 /usr/lib/udisks2/udisksd     0.0
      1       0  0.5 /sbin/init splash            0.0
   1352     785  0.5 /usr/libexec/gsd-print-noti  0.0
    628       1  0.5 /usr/sbin/ModemManager --fi  0.0
    545       1  0.5 /usr/lib/policykit-1/polkit  0.0
   1363     785  0.4 /usr/libexec/gsd-smartcard   0.0
    785       1  0.4 /lib/systemd/systemd --user  0.0
   1361     785  0.4 /usr/libexec/gsd-sharing     0.0
   1051       1  0.4 /usr/lib/upower/upowerd      0.0
   1365     785  0.4 /usr/libexec/gsd-sound       0.0
    691     639  0.4 gdm-session-worker [pam/gdm  0.0
   1041     785  0.4 /usr/libexec/goa-identity-s  0.0
   1006     785  0.4 /usr/libexec/gvfs-udisks2-v  0.0
   1017     785  0.4 /usr/libexec/gvfs-afc-volum  0.0
    639       1  0.4 /usr/sbin/gdm3               0.0
    533       1  0.4 /usr/sbin/cupsd -l           0.0
   2441     984  0.4 /usr/libexec/gvfsd-network   0.0
